year,R,DG,DP
1927,1.334281,1.1733505,.048550058
1928,1.390488,1.1080521,.040245619
1929,.849756,.77799767,.03825669
1930,.71183699,.8524521,.048013542
1931,.55642599,.68684787,.063001484
1932,.91526699,.95948535,.070715643
1933,1.5750329,.9086675,.042532451
1934,1.042697,.98574156,.041893698
1935,1.448374,1.3983009,.042150129
1936,1.321524,1.3381453,.04458309
1937,.65389198,.77912951,.056102179
1938,1.281558,.96613008,.044161599
1939,1.0211591,1.0772256,.04886261
1940,.92554897,1.0725584,.06002238
1941,.90371698,1.0153213,.072311118
1942,1.162997,1.0570712,.070348687
1943,1.2805589,.90848887,.052530389
1944,1.213527,1.1200944,.050956622
1945,1.3844579,1.0813707,.041450929
1946,.940997,.92125797,.042297941
1947,1.03379,1.3230196,.057229839
1948,1.023368,1.0900432,.064915687
1949,1.2010241,1.2265449,.071002193
1950,1.3002321,1.2230327,.071566202
1951,1.20827,.93208802,.058433872
1952,1.132935,1.0148909,.055236861
1953,1.00353,.9795453,.056989349
1954,1.5017591,1.2363012,.049225081
1955,1.253033,1.018485,.041678511
1956,1.0847369,1.0098249,.040366411
1957,.89626902,.92237574,.043342769
1958,1.448342,1.2728766,.039600279
1959,1.125995,.90385729,.032831531
1960,1.01156,1.0346457,.03474766
1961,1.269443,1.0488476,.02955804
1962,.896819,1.0074418,.034344401
1963,1.208876,1.1029165,.032347649
1964,1.163038,1.067991,.03061345
1965,1.14386,1.1080098,.03056021
1966,.91311198,.97937804,.033888821
1967,1.285666,1.1333234,.030793119
1968,1.1416889,1.054781,.02928213
1969,.89163798,.91345823,.030926481
1970,1.0007221,1.1250231,.036020249
1971,1.161989,.93955493,.029998779
1972,1.173406,1.0282419,.02699727
1973,.81252098,.89983177,.030819761
1974,.72058803,1.0123374,.045257531
1975,1.373582,1.2241278,.042028371
1976,1.267693,1.1549103,.039813671
1977,.970231,1.0856069,.046625219
1978,1.085448,1.1270081,.05087322
1979,1.244092,1.2035213,.051761609
1980,1.332392,1.1808364,.048079479
1981,.960136,.90895325,.047687009
1982,1.204216,1.2952373,.054064509
1983,1.226503,.88096607,.040402111
1984,1.03162,1.0669491,.04360792
1985,1.314113,1.1350689,.039140768
1986,1.155619,.9641099,.033756658
1987,1.018309,.94449502,.03232174
1988,1.175554,1.4159203,.040507559
1989,1.284321,1.0875746,.035520609
1990,.93916398,.93016434,.036463
1991,1.336436,1.0997723,.030934131
1992,1.090646,.95286328,.02777689
1993,1.115889,1.0045042,.02564553
1994,.99242699,.98500609,.02611858
1995,1.356721,1.2113982,.02387779
1996,1.211786,1.0091807,.02028898
1997,1.3035229,1.0674267,.016894899
1998,1.222596,1.0404915,.01458818
1999,1.2526489,1.1102828,.01309958
2000,.88949698,.74773395,.01113445
2001,.88735199,1.0587858,.01346448
2002,.79157299,.94173712,.016279509
2003,1.3314281,1.4472176,.018014049
2004,1.129964,1.1935683,.01939713
2005,1.073169,.99334288,.018282549
2006,1.162074,1.1821654,.018951111
2007,1.073133,1.0581439,.01904224
2008,.61701,.75085711,.02372277
2009,1.316186,1.3563339,.02505899
2010,1.17887,.99162,.021532539
2011,.99099398,.94675326,.02100333
2012,1.159775,1.3629267,.025307011
